LDGS_CD,LDGS_NM,LDGS_ZIP_NO,LDGS_ROAD_NM_ADDR
24418,인천(송도) 리치,21959,인천광역시 연수구 능허대로 124
24420,사천 SHOW,52524,경상남도 사천시 정동면 진삼로 1208-12
24422,울산 일산 올레,44057,울산광역시 동구 해수욕장7길 15
24424,역삼 아드리게,06220,서울특별시 강남구 테헤란로28길 3-6(역삼동)
24425,원주 칸,26450,강원도 원주시 관후길 5-9 (단구동)
24431,파주 반지 무인텔,10862,경기도 파주시 탄현면 필승로 487-31
24434,인천(용현동) 써클,22186,인천광역시 미추홀구 토금중로3번길 28 (써클호텔)
24436,창원 상남동 호텔 드 메종(de MAISON),51503,경상남도 창원시 성산구 마디미로56번길 6 (상남동)
24437,공주(동학사) The JAJA,32626,충청남도 공주시 반포면 임금봉길 88-2
24438,부산 덕천 투헤븐,46544,부산광역시 북구 낙동대로 1779-8 (투헤븐호텔)
24440,대구 성서 CF,42713,대구광역시 달서구 호산동로 90-12
24443,청주 옐로 HOTEL,28397,충북 청주시 흥덕구 경산로9번길 14 (가경동)
24444,부산 해운대 호텔 폭시,48094,부산광역시 해운대구 구남로18번길 35 (우동)
24445,창원 명서동 호텔 V(브이),51388,경상남도 창원시 의창구 창이대로103번길 5 (명서동)
24450,구례 S무인호텔,57604,전남 구례군 산동면  하관길 49-26
24452,광주 화정동 스퀘어,61938,광주 서구 내방로353번길 6 (화정동)
24455,용인 신갈 가즈아(GAZUA),16945,경기도 용인시 기흥구 신정로237번길 9
24456,부산 남포동 VOV,48976,부산광역시 중구 흑교로 7
24473,잠실 자자호텔,05544,서울특별시 송파구 오금로11길 47 (방이동)
24475,대전 은행 자우리,34917,대전 중구 대흥로111번길 35
24477,아산 나이스,31508,충청남도 아산시 시민로449번길 38
24479,종로 르몽 호텔,03191,서울특별시 종로구 종로16길 28
24483,가산 마인드호텔,08527,서울특별시 금천구 남부순환로 1262 (MIND관광호텔)
24484,김해 장유 위프,50989,경상남도 김해시 번화1로68번길 23
24486,신촌 MAC(맥),03780,서울특별시 서대문구 연세로2길 46
24487,양평 호텔 하루,12575,경기도 양평군 강하면 강남로 283
24488,군산 라온하제(LAONHAJE) 호텔,54003,전라북도 군산시 비응안1길 6
24490,대구 앞산 비즈니스 호텔,42419,대구광역시 남구 현충로 148 (대명동)
24496,화곡 테르모,07777,서울특별시 강서구 강서로5가길 17 (화곡동)
24503,강릉 피크닉,25525,강원도 강릉시 홍제로85번길 24(홍제동)
24510,군산 웰컴호텔,54002,전라북도 군산시 가도2길 57
24512,포항 영일대 BB(비비),37708,경북 포항시 북구 해안로 17 (항구동)
24518,대전 둔산 프라이데이,35240,대전 서구 둔산중로58번길 35 (둔산동)
24521,부산 괴정 GT,49380,부산광역시 사하구 사하로197번길 50 (괴정동)
24524,부산 미남 SS,47838,부산광역시 동래구 여고북로73번길 54 (온천동)
24528,안산 아이린,15363,경기도 안산시 단원구 부부로 68
24533,광명 J,14303,경기도 광명시 범안로 1002
24535,군산 JNK 호텔 (시청점),54077,전라북도 군산시 백릉안1길 20
24536,구리 홍콩,11927,경기도 구리시 안골로57번길 45 (수택동)
24538,아산 나비,31526,충청남도 아산시 번영로230번길 1
24539,파주 에로스,10860,경기도 파주시 탄현면 성동로 7-17
24541,전주 덕진동 핀앤핏하우스,54898,전라북도 전주시 덕진구 덕진광장로 8-1 (덕진동1가)
24542,칠곡 팔공산 첫눈 뷰티크 호텔,39855,경상북도 칠곡군 동명면 팔공산로4길 19
24543,김해 어방동 에이플러스,50930,경상남도 김해시 김해대로2529번길 72-15 (어방동)
24548,충주 오슬로,27388,충청북도 충주시 관아3길 6 (성내동)
24550,성남 모란 루이스,13364,경기 성남시 중원구 광명로 22-1 (성남동)
24552,속초 등대비치 모텔,24811,강원도 속초시 영금정로6길 3
24561,인천(월미도) 두바이,22302,인천광역시 중구 월미로233번길 11
24565,제천 렉스,27169,충청북도 제천시 명륜로12길 10 (중앙로2가)
24570,청주 두바이 무인호텔,28528,충청북도 청주시 상당구 남사로93번길 12
24571,양산 덕계 N,50556,경상남도 양산시 덕계1길 10 (덕계동)
24574,춘천 스테이 오즈,24329,강원 춘천시 금강로121번길 19 (효자동)
24576,천안 W,31146,충청남도 천안시 서북구 양지10길 32
24583,오류 본모텔,08271,서울특별시 구로구 경인로20나길 50
24584,구미 원평동 궁,39232,경상북도 구미시 구미중앙로35길 6
24587,춘천 소양강호텔,24275,강원도 춘천시 공지로 480 (근화동)
24594,화곡 HOTEL N (호텔 엔),07777,서울특별시 강서구 곰달래로24길 36 (화곡동)
24596,부산 기장 짱,46057,부산광역시 기장군 기장읍 차성로 375
24597,평택 Show,17909,경기 평택시 평택2로10번길 19 (평택동)
24604,밀양 미니 무인텔,50420,경상남도 밀양시 범북1길 31
24605,화곡 S,07777,서울특별시 강서구 곰달래로 108 (화곡동)
24608,부산 해운대 호텔 오(O),48094,부산광역시 해운대구 해운대로608번길 45
24609,양산 북부동 SHOW HOTEL,50616,경상남도 양산시 북안북3길 17
24611,부산역(중앙동) BT HOTEL,48936,부산광역시 중구 중앙대로 142 (뉴테마 모텔)
24613,인천(구월동) TWOSOME(2S),21558,인천광역시 남동구 예술로204번길 40
24615,부산 강서 신호동 벨라지오,46759,부산광역시 강서구 신호산단1로217번길 7 (신호동)
24620,평택 허브,17918,경기도 평택시 통복로32번길 14
